name,sites,lnL,parameters,subsets,aic,aicc,bic
step_82,249438,-1085630.79,4398,432,2180057.59,2180215.50,2225915.38
step_83,249438,-1085633.56,4388,431,2180043.13,2180200.31,2225796.65
step_84,249438,-1085636.38,4378,430,2180028.76,2180185.22,2225678.02
step_85,249438,-1085639.21,4368,429,2180014.42,2180170.17,2225559.41
step_86,249438,-1085642.06,4358,428,2180000.12,2180155.14,2225440.84
step_87,249438,-1085644.92,4348,427,2179985.83,2180140.14,2225322.28
step_88,249438,-1085647.79,4338,426,2179971.58,2180125.18,2225203.76
step_89,249438,-1085650.68,4328,425,2179957.37,2180110.24,2225085.27
step_90,249438,-1085653.59,4318,424,2179943.19,2180095.35,2224966.83
step_91,249438,-1085656.51,4308,423,2179929.02,2180080.48,2224848.39
step_92,249438,-1085659.43,4298,422,2179914.87,2180065.61,2224729.96
step_93,249438,-1085662.36,4288,421,2179900.71,2180050.76,2224611.54
step_94,249438,-1085665.29,4278,420,2179886.59,2180035.92,2224493.14
step_95,249438,-1085668.27,4268,419,2179872.54,2180021.17,2224374.83
step_96,249438,-1085671.27,4258,418,2179858.54,2180006.47,2224256.56
step_97,249438,-1085674.32,4248,417,2179844.65,2179991.88,2224138.40
step_98,249438,-1085677.40,4238,416,2179830.79,2179977.32,2224020.27
step_99,249438,-1085680.48,4228,415,2179816.97,2179962.80,2223902.18
step_100,249438,-1085683.58,4218,414,2179803.16,2179948.31,2223784.11
step_101,249438,-1085686.70,4208,413,2179789.40,2179933.85,2223666.08
step_102,249438,-1085689.83,4198,412,2179775.66,2179919.42,2223548.06
step_103,249438,-1085692.96,4188,411,2179761.93,2179904.99,2223430.06
step_104,249438,-1085696.10,4178,410,2179748.20,2179890.57,2223312.06
step_105,249438,-1085699.26,4168,409,2179734.52,2179876.21,2223194.11
step_106,249438,-1085702.44,4158,408,2179720.88,2179861.89,2223076.20
step_107,249438,-1085705.65,4148,407,2179707.30,2179847.63,2222958.35
step_108,249438,-1085708.88,4138,406,2179693.76,2179833.40,2222840.54
step_109,249438,-1085712.12,4128,405,2179680.23,2179819.20,2222722.75
step_110,249438,-1085715.36,4118,404,2179666.72,2179805.00,2222604.96
step_111,249438,-1085718.60,4108,403,2179653.21,2179790.81,2222487.18
step_112,249438,-1085721.92,4098,402,2179639.84,2179776.77,2222369.54
step_113,249438,-1085725.24,4088,401,2179626.48,2179762.74,2222251.92
step_114,249438,-1085728.58,4078,400,2179613.15,2179748.74,2222134.32
step_115,249438,-1085731.91,4068,399,2179599.83,2179734.75,2222016.72
step_116,249438,-1085735.29,4058,398,2179586.57,2179720.83,2221899.20
step_117,249438,-1085738.67,4048,397,2179573.34,2179706.93,2221781.70
step_118,249438,-1085742.07,4038,396,2179560.14,2179693.07,2221664.23
step_119,249438,-1085745.50,4028,395,2179547.01,2179679.27,2221546.83
step_120,249438,-1085748.95,4018,394,2179533.90,2179665.50,2221429.45
step_121,249438,-1085752.40,4008,393,2179520.80,2179651.73,2221312.07
step_122,249438,-1085755.88,3998,392,2179507.76,2179638.04,2221194.76
step_123,249438,-1085759.38,3988,391,2179494.76,2179624.39,2221077.50
step_124,249438,-1085762.91,3978,390,2179481.82,2179610.79,2220960.29
step_125,249438,-1085766.44,3968,389,2179468.88,2179597.20,2220843.08
step_126,249438,-1085770.01,3958,388,2179456.02,2179583.69,2220725.95
step_127,249438,-1085773.61,3948,387,2179443.22,2179570.23,2220608.88
step_128,249438,-1085777.22,3938,386,2179430.45,2179556.82,2220491.84
step_129,249438,-1085780.38,3928,385,2179416.76,2179542.49,2220373.88
step_130,249438,-1085784.02,3918,384,2179404.05,2179529.13,2220256.90
step_131,249438,-1085787.72,3908,383,2179391.44,2179515.88,2220140.02
step_132,249438,-1085791.43,3898,382,2179378.86,2179502.66,2220023.18
step_133,249438,-1085795.15,3888,381,2179366.30,2179489.45,2219906.34
step_134,249438,-1085798.86,3878,380,2179353.73,2179476.25,2219789.50
step_135,249438,-1085802.58,3868,379,2179341.16,2179463.05,2219672.67
step_136,249438,-1085806.33,3858,378,2179328.65,2179449.90,2219555.88
step_137,249438,-1085809.73,3848,377,2179315.46,2179436.08,2219438.43
step_138,249438,-1085813.50,3838,376,2179303.01,2179422.99,2219321.70
step_139,249438,-1085817.34,3828,375,2179290.69,2179410.05,2219205.11
step_140,249438,-1085821.25,3818,374,2179278.49,2179397.22,2219088.65
step_141,249438,-1085825.17,3808,373,2179266.34,2179384.44,2218972.23
step_142,249438,-1085829.13,3798,372,2179254.25,2179371.73,2218855.87
