INFO     | 2020-05-12 13:53:51,695 | progress   |       Finished subset 20/40, 50.00 percent done
INFO     | 2020-05-12 13:53:51,786 | progress   |       Finished subset 21/40, 52.50 percent done
INFO     | 2020-05-12 13:53:52,095 | progress   |       Finished subset 22/40, 55.00 percent done
INFO     | 2020-05-12 13:53:52,183 | progress   |       Finished subset 23/40, 57.50 percent done
INFO     | 2020-05-12 13:53:52,262 | progress   |       Finished subset 24/40, 60.00 percent done
INFO     | 2020-05-12 13:53:52,357 | progress   |       Finished subset 25/40, 62.50 percent done
INFO     | 2020-05-12 13:53:52,662 | progress   |       Finished subset 26/40, 65.00 percent done
INFO     | 2020-05-12 13:53:52,758 | progress   |       Finished subset 27/40, 67.50 percent done
INFO     | 2020-05-12 13:53:52,845 | progress   |       Finished subset 28/40, 70.00 percent done
INFO     | 2020-05-12 13:53:53,048 | progress   |       Finished subset 29/40, 72.50 percent done
INFO     | 2020-05-12 13:53:53,316 | progress   |       Finished subset 30/40, 75.00 percent done
INFO     | 2020-05-12 13:53:53,412 | progress   |       Finished subset 31/40, 77.50 percent done
INFO     | 2020-05-12 13:53:53,556 | progress   |       Finished subset 32/40, 80.00 percent done
INFO     | 2020-05-12 13:53:53,643 | progress   |       Finished subset 33/40, 82.50 percent done
INFO     | 2020-05-12 13:53:53,792 | progress   |       Finished subset 34/40, 85.00 percent done
INFO     | 2020-05-12 13:53:53,891 | progress   |       Finished subset 35/40, 87.50 percent done
INFO     | 2020-05-12 13:53:53,983 | progress   |       Finished subset 36/40, 90.00 percent done
INFO     | 2020-05-12 13:53:54,086 | progress   |       Finished subset 37/40, 92.50 percent done
INFO     | 2020-05-12 13:53:54,228 | progress   |       Finished subset 38/40, 95.00 percent done
INFO     | 2020-05-12 13:53:54,277 | progress   |       Finished subset 39/40, 97.50 percent done
INFO     | 2020-05-12 13:53:54,359 | progress   |       Finished subset 40/40, 100.00 percent done
INFO     | 2020-05-12 13:53:54,360 | analysis_m |       Finding the best partitioning scheme
INFO     | 2020-05-12 13:53:54,947 | analysis_m |       Combining subsets: 'EOG090C09VY_1' and 'EOG090C0CNU_1'
INFO     | 2020-05-12 13:53:54,951 | analysis_m |       The best scheme has 263 subsets and improves the aic score by 9.94 to 1829450.6
INFO     | 2020-05-12 13:53:54,970 | analysis_m |    *** Relaxed clustering algorithm step 138 of up to 399 ***
INFO     | 2020-05-12 13:53:54,971 | analysis_m |       Measuring the similarity of 34453 subset pairs
INFO     | 2020-05-12 13:53:54,974 | analysis_m |       Choosing the 3446 most similar subset pairs
INFO     | 2020-05-12 13:53:55,013 | analysis_m |       Analysing 52 new subset pairs
INFO     | 2020-05-12 13:55:11,493 | progress   |       Finished subset 1/52, 1.92 percent done
INFO     | 2020-05-12 13:55:11,742 | progress   |       Finished subset 2/52, 3.85 percent done
INFO     | 2020-05-12 13:55:11,859 | progress   |       Finished subset 3/52, 5.77 percent done
INFO     | 2020-05-12 13:55:11,976 | progress   |       Finished subset 4/52, 7.69 percent done
INFO     | 2020-05-12 13:55:12,375 | progress   |       Finished subset 5/52, 9.62 percent done
INFO     | 2020-05-12 13:55:12,494 | progress   |       Finished subset 6/52, 11.54 percent done
INFO     | 2020-05-12 13:55:12,588 | progress   |       Finished subset 7/52, 13.46 percent done
INFO     | 2020-05-12 13:55:12,710 | progress   |       Finished subset 8/52, 15.38 percent done
INFO     | 2020-05-12 13:55:13,151 | progress   |       Finished subset 9/52, 17.31 percent done
INFO     | 2020-05-12 13:55:13,232 | progress   |       Finished subset 10/52, 19.23 percent done
INFO     | 2020-05-12 13:55:13,364 | progress   |       Finished subset 11/52, 21.15 percent done
INFO     | 2020-05-12 13:55:13,451 | progress   |       Finished subset 12/52, 23.08 percent done
INFO     | 2020-05-12 13:55:16,463 | progress   |       Finished subset 13/52, 25.00 percent done
INFO     | 2020-05-12 13:55:16,558 | progress   |       Finished subset 14/52, 26.92 percent done
INFO     | 2020-05-12 13:55:16,744 | progress   |       Finished subset 15/52, 28.85 percent done
INFO     | 2020-05-12 13:55:17,748 | progress   |       Finished subset 16/52, 30.77 percent done
INFO     | 2020-05-12 13:55:17,833 | progress   |       Finished subset 17/52, 32.69 percent done
INFO     | 2020-05-12 13:55:17,925 | progress   |       Finished subset 18/52, 34.62 percent done
INFO     | 2020-05-12 13:55:18,300 | progress   |       Finished subset 19/52, 36.54 percent done
INFO     | 2020-05-12 13:55:18,396 | progress   |       Finished subset 20/52, 38.46 percent done
INFO     | 2020-05-12 13:55:18,521 | progress   |       Finished subset 21/52, 40.38 percent done
INFO     | 2020-05-12 13:55:18,822 | progress   |       Finished subset 22/52, 42.31 percent done
INFO     | 2020-05-12 13:55:19,003 | progress   |       Finished subset 23/52, 44.23 percent done
INFO     | 2020-05-12 13:55:19,582 | progress   |       Finished subset 24/52, 46.15 percent done
INFO     | 2020-05-12 13:55:19,698 | progress   |       Finished subset 25/52, 48.08 percent done
INFO     | 2020-05-12 13:55:21,379 | progress   |       Finished subset 26/52, 50.00 percent done
INFO     | 2020-05-12 13:55:23,189 | progress   |       Finished subset 27/52, 51.92 percent done
INFO     | 2020-05-12 13:55:24,488 | progress   |       Finished subset 28/52, 53.85 percent done
INFO     | 2020-05-12 13:55:25,690 | progress   |       Finished subset 29/52, 55.77 percent done
INFO     | 2020-05-12 13:55:26,025 | progress   |       Finished subset 30/52, 57.69 percent done
INFO     | 2020-05-12 13:55:26,278 | progress   |       Finished subset 31/52, 59.62 percent done
INFO     | 2020-05-12 13:55:26,359 | progress   |       Finished subset 32/52, 61.54 percent done
INFO     | 2020-05-12 13:55:26,441 | progress   |       Finished subset 33/52, 63.46 percent done
INFO     | 2020-05-12 13:55:26,687 | progress   |       Finished subset 34/52, 65.38 percent done
INFO     | 2020-05-12 13:55:26,802 | progress   |       Finished subset 35/52, 67.31 percent done
INFO     | 2020-05-12 13:55:26,903 | progress   |       Finished subset 36/52, 69.23 percent done
INFO     | 2020-05-12 13:55:26,995 | progress   |       Finished subset 37/52, 71.15 percent done
INFO     | 2020-05-12 13:55:27,278 | progress   |       Finished subset 38/52, 73.08 percent done
INFO     | 2020-05-12 13:55:27,366 | progress   |       Finished subset 39/52, 75.00 percent done
INFO     | 2020-05-12 13:55:27,469 | progress   |       Finished subset 40/52, 76.92 percent done
INFO     | 2020-05-12 13:55:27,559 | progress   |       Finished subset 41/52, 78.85 percent done
INFO     | 2020-05-12 13:55:27,813 | progress   |       Finished subset 42/52, 80.77 percent done
INFO     | 2020-05-12 13:55:27,948 | progress   |       Finished subset 43/52, 82.69 percent done
INFO     | 2020-05-12 13:55:28,033 | progress   |       Finished subset 44/52, 84.62 percent done
INFO     | 2020-05-12 13:55:28,110 | progress   |       Finished subset 45/52, 86.54 percent done
INFO     | 2020-05-12 13:55:28,253 | progress   |       Finished subset 46/52, 88.46 percent done
INFO     | 2020-05-12 13:55:28,450 | progress   |       Finished subset 47/52, 90.38 percent done
INFO     | 2020-05-12 13:55:28,565 | progress   |       Finished subset 48/52, 92.31 percent done
INFO     | 2020-05-12 13:55:28,655 | progress   |       Finished subset 49/52, 94.23 percent done
INFO     | 2020-05-12 13:55:28,707 | progress   |       Finished subset 50/52, 96.15 percent done
